user_id,session_id,timestamp,page_views,traffic_source,duration,bounce_rate,conversion,device_type,source_medium
1,1,6/15/2021,421,referral,2624,64.83,false,desktop,direct/none
2,2,9/15/2021,666,organic,2777,40.94,false,tablet,google/cpc
3,3,3/10/2021,375,organic,1545,15.96,true,desktop,direct/none
4,4,2/25/2021,457,referral,828,85.89,false,desktop,google/cpc
5,5,10/3/2021,303,referral,264,49.36,true,tablet,facebook/referral
6,6,11/19/2021,570,referral,1896,60.52,true,mobile,direct/none
7,7,3/15/2021,204,organic,295,44.46,false,mobile,direct/none
8,8,2/19/2021,545,organic,1627,4.65,false,desktop,google/cpc
9,9,12/11/2021,899,referral,3339,70.72,false,tablet,google/cpc
10,10,2/9/2021,576,referral,659,27.11,true,desktop,google/cpc
11,11,6/18/2021,934,organic,359,83.7,false,desktop,direct/none
12,12,8/8/2021,900,referral,1949,82.86,false,mobile,direct/none
13,13,2/1/2021,845,organic,2457,50.89,true,desktop,facebook/referral
14,14,5/23/2021,163,direct,3204,42.6,false,mobile,facebook/referral
15,15,7/6/2021,183,direct,3043,30.92,true,tablet,facebook/referral
16,16,8/2/2021,361,referral,1077,99.27,false,tablet,facebook/referral
17,17,1/3/2021,179,referral,3222,28.98,true,mobile,google/cpc
18,18,12/26/2021,215,organic,3395,4.73,true,desktop,google/cpc
19,19,11/1/2021,463,direct,1783,20.66,false,mobile,google/cpc
20,20,3/3/2021,281,direct,3384,71.14,true,mobile,google/cpc
21,21,4/13/2021,952,direct,2990,15.05,true,desktop,direct/none
22,22,8/30/2021,847,referral,1393,48.65,true,desktop,facebook/referral
23,23,10/13/2021,570,organic,3029,19.91,false,desktop,direct/none
24,24,7/9/2021,815,organic,1905,23.48,false,tablet,direct/none
25,25,12/26/2021,217,direct,2016,82.74,false,desktop,google/cpc
26,26,4/28/2021,648,organic,401,66.55,true,tablet,facebook/referral
27,27,2/15/2021,19,referral,2721,21.58,false,mobile,facebook/referral
28,28,7/22/2021,209,direct,2641,87.72,true,desktop,direct/none
29,29,11/3/2021,746,organic,2254,43.33,false,tablet,google/cpc
30,30,4/19/2021,28,referral,599,13.26,true,mobile,google/cpc
31,31,6/5/2021,856,organic,2651,37.73,false,tablet,direct/none
32,32,7/16/2021,256,organic,3489,1.49,false,mobile,google/cpc
33,33,2/17/2021,56,referral,164,10.37,true,tablet,direct/none
34,34,6/8/2021,316,direct,2190,68.99,true,mobile,facebook/referral
35,35,6/19/2021,894,organic,1094,33.79,false,mobile,google/cpc
36,36,8/16/2021,852,referral,58,93.69,false,mobile,facebook/referral
37,37,12/1/2021,796,organic,304,38.33,false,desktop,facebook/referral
38,38,4/4/2021,23,direct,1559,54.47,true,tablet,google/cpc
